oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
CSA,18545,Centro Sportivo Alagoano (AL),3,72.42,19
QPR,1039,Queens Park Rangers,3,72.58,27
Nautico,2646,Clube Náutico Capibaribe,3,73.17,39
Cuiaba,28022,Cuiabá Esporte Clube (MT),3,73.33,32
Olimpo Bahia Blanca,7468,Club Olimpo,3,73.92,40
Gremio,210,Grêmio Foot-Ball Porto Alegrense,3,73.92,26
FCSB,301,Steaua Bucharest,3,73.92,20
Mirassol,3876,Mirassol Futebol Clube (SP),3,74.08,46
Botafogo RJ,537,Botafogo de Futebol e Regatas,3,74.25,50
Beijing Renhe,17250,Shaanxi Chanba,3,74.25,22
Vasco,978,Clube de Regatas Vasco da Gama,3,74.33,29
Roda,192,Roda JC Kerkrade,3,74.5,40
Vitoria,2125,Esporte Clube Vitória,3,74.67,43
Atletico-MG,330,Clube Atlético Mineiro,3,74.83,48
Atletico GO,15172,Atlético Clube Goianiense,3,74.92,56
America MG,2863,América Futebol Clube (MG),3,74.92,50
Cangzhou,35272,Shijiazhuang Ever Bright,3,75.08,25
Ceara,2029,Ceará Sporting Club,3,75.17,33
Joinville,3330,Joinville Esporte Clube (SC),3,75.25,49
OFI,653,OFI Crete FC,3,75.42,40
Rennes,273,Stade Rennais FC,3,75.75,45
Colon Santa FE,1070,CA Colón,3,75.92,36
Pandurii,8715,Pandurii Targu Jiu (- 2022),3,76,46
Corinthians,199,Sport Club Corinthians Paulista,3,76.25,52
Criciuma,7178,Criciúma Esporte Clube,3,76.25,47
Bistrita,4688,CF Gloria Bistrita (- 2015),3,76.42,46
Creteil,2067,US Créteil-Lusitanos,3,76.5,44
Sp Lisbon,336,Sporting CP,3,76.5,40
Chapecoense-SC,17776,Associação Chapecoense de Futebol,3,76.67,47
Nancy,1159,AS Nancy-Lorraine,3,76.67,45
Ponte Preta,1134,Associação Atlética Ponte Preta,3,76.75,52
Sochaux,750,FC Sochaux-Montbéliard,3,76.75,48
Sao Paulo,585,São Paulo Futebol Clube,3,76.83,50
Fortaleza,10870,Fortaleza Esporte Clube,3,76.92,56
Ajax,610,Ajax Amsterdam,3,77.08,44
Kuban,2439,Kuban Krasnodar (-2018),3,77.25,36
Neustadt,17444,SC Magna Wiener Neustadt,3,77.33,50
U. Cluj,6429,Universitatea Cluj,3,77.33,48
Din. Bucuresti,312,FC Dinamo 1948,3,77.42,29
Veracruz,5138,Tiburones Rojos de Veracruz,3,77.5,46
Lyon,1041,Olympique Lyon,3,77.5,44
Bahia,10010,Esporte Clube Bahia,3,77.58,42
Hamilton,2999,Hamilton Academical FC,3,77.58,53
Admira,503,FC Admira Wacker Mödling,3,77.83,40
Aves,3336,Desportivo Aves (- 2020),3,77.92,29
T. Moscow,1186,Torpedo Moskau,3,78,43
Tosno,40426,FC Tosno (-2018),3,78.08,48
Hearts,43,Heart of Midlothian FC,3,78.08,36
Poli Iasi,33966,CSMS Iași,3,78.17,44
St Etienne,618,AS Saint-Étienne,3,78.17,62
Istres,2580,FC Istres Ouest Provence,3,78.25,40
Goias,3197,Goiás EC,3,78.58,62
Nimes,1160,Nîmes Olympique,3,78.58,40
Niort,1161,Chamois Niortais FC,3,78.58,42
Wolves,543,Wolverhampton Wanderers,3,78.67,41
Twente,317,Twente Enschede FC,3,78.67,50
Belgrano,2417,Club Atlético Belgrano,3,78.75,53
Parana,309,Paraná Clube,3,78.75,56
Novara,6692,Novara Calcio 1908,3,78.75,50
Brest,3911,Stade Brestois 29,3,78.75,45
Figueirense,4064,Figueirense Futebol Clube,3,78.92,61
Naval,4814,Naval 1º de Maio,3,78.92,48
Juventude,10492,Esporte Clube Juventude,3,79,56
Pari NN,49702,FC Pari Nizhniy Novgorod,3,79,45
Jaen,666,Real Jaén CF,3,79,38
Coritiba,776,Coritiba Foot Ball Club,3,79.08,52
Shenzhen Xinpengcheng,51120,Shenzhen Peng City,3,79.08,72
Alaves,1108,Deportivo Alavés,3,79.08,45
Arles,11300,AC Arles-Avignon,3,79.08,48
Sedan,1081,CS Sedan-Ardennes,3,79.17,45
Cruzeiro,609,Cruzeiro Esporte Clube,3,79.25,53
Lille,1082,LOSC Lille,3,79.42,67
Ceahlaul,8687,Ceahlăul Piatra Neamț,3,79.5,48
Yenisey,3714,Metallurg-Enisey Krasnoyarsk,3,79.58,34
Bourg Peronnas,2972,Football Bourg-en-Bresse Péronnas 01,3,79.58,52
AVS,110302,Avs Futebol,3,79.67,43
Erzurum BB,39722,Büyüksehir Belediye Erzurumspor,3,79.67,34
Aris,605,Aris Thessaloniki,3,79.67,38
Guadalajara Chivas,6711,Deportivo Guadalajara,3,79.75,56
Willem II ,403,Willem II Tilburg,1,79.75,69
Athletico-PR,679,Atlético Paranaense,3,79.92,58
Xamax,625,Neuchâtel Xamax,3,79.92,50
CA Bastia,28559,CA Bastia (- 2017),3,79.92,67
Fluminense,2462,Fluminense Football Club,3,80,59
Odd,1058,Odd Grenland,3,80,40
Roda ,192,Roda JC Kerkrade,1,80,40
Paris SG,583,Paris Saint-Germain,3,80.08,59
San Lorenzo,1775,CA San Lorenzo de Almagro,3,80.17,61
Tigre,11831,Club Atlético Tigre,3,80.25,42
Alloa,3020,Alloa Athletic FC,3,80.33,45
M. Saransk,11126,Mordovia Saransk (-2020),3,80.42,53
Laval,1080,Stade Lavallois,3,80.42,50
Ionikos,553,Ionikos Nikeas,3,80.42,67
Munich 1860,72,TSV 1860 Munich,3,80.5,46
Alessandria,2721,US Alessandria Calcio 1912,3,80.5,59
Estrela,2431,CF Estrela Amadora,3,80.5,56
Clermont,3524,Clermont Foot 63,3,80.58,67
Palmeiras,1023,Sociedade Esportiva Palmeiras,3,80.67,47
Santa Cruz,1785,Santa Cruz FC (PE),3,80.67,71
Ulm,69,SSV Ulm 1846,3,80.67,40
Lecco,5514,Calcio Lecco 1912,3,80.67,45
Betis,150,Real Betis Balompié,3,80.67,42
Gimnasia L.P.,1106,Club de Gimnasia y Esgrima La Plata,3,80.83,46
Podbeskidzie,6361,Podbeskidzie Bielsko-Biala,3,80.83,63
Astra,13499,Astra Ploiesti,3,80.83,53
Daco-Getica Bucuresti,11222,Juventus Bucharest,3,81,51
Iraklis,47,Iraklis Thessaloniki,3,81,52
Zhejiang Professional,17276,Hangzhou Greentown,3,81.08,46
