Date,HomeTeam,AwayTeam,FTHG,FTAG,league_code,tm_code,home_club_id,home_club_name,away_club_id,away_club_name,tm_match_id,match_confidence,matches_found
2022-10-22,AC Oulu,VPS,0.0,0.0,FIN,FI1,,,,,,0,0
2019-06-02,Aarau,Xamax,0.0,5.0,SWZ,C1,,,,,,0,0
2022-05-16,Academica Clinceni,FC Botosani,0.0,4.0,ROU,RO1,,,,,,0,0
2022-12-25,Ad. Demirspor,Karagumruk,2.0,1.0,T1,TR1,,,,,,0,0
2022-11-19,Airdrie Utd,Kelty Hearts,1.0,0.0,SC2,SC3,,,,,,0,0
2019-05-19,Akhisar Belediyespor,Kayserispor,2.0,2.0,T1,TR1,,,,,,0,0
2022-12-28,Alanyaspor,Kayserispor,3.0,1.0,T1,TR1,,,,,,0,0
2022-10-16,Aldosivi,Talleres Cordoba,1.0,3.0,ARG,ARG1,,,,,,0,0
2022-12-31,Alloa,Kelty Hearts,0.0,0.0,SC2,SC3,,,,,,0,0
2022-05-21,Altay,Kasimpasa,2.0,4.0,T1,TR1,,,,,,0,0
2018-05-17,Amkar,Tambov,2.0,0.0,RUS,RU1,,,,,,0,0
2022-12-27,Ankaragucu,Umraniyespor,1.0,2.0,T1,TR1,,,,,,0,0
2022-12-23,Antalyaspor,Ankaragucu,0.0,2.0,T1,TR1,,,,,,0,0
2022-05-07,Apollon,Lamia,0.0,0.0,G1,GR1,,,,,,0,0
2022-12-23,Arbroath,Queens Park,1.0,4.0,SC1,SC2,,,,,,0,2
2022-10-22,Argentinos Jrs,Velez Sarsfield,2.0,0.0,ARG,ARG1,,,,,,0,0
2022-10-17,Arsenal Sarandi,Barracas Central,1.0,2.0,ARG,ARG1,,,,,,0,0
2021-05-15,Astra,FC Voluntari,0.0,3.0,ROU,RO1,,,,,,0,0
2022-12-29,Ath Madrid,Elche,2.0,0.0,SP1,ES1,,,,,,0,2
2014-10-24,Athlone,Bray,1.0,1.0,IRL,IR1,,,,,,0,0
2017-06-25,Atl. Rafaela,Sarmiento Junin,2.0,3.0,ARG,ARG1,,,,,,0,0
2022-10-01,Atl. San Luis,Tigres UANL,0.0,3.0,MEX,MEX1,,,,,,0,2
2022-10-18,Atl. Tucuman,Union de Santa Fe,1.0,1.0,ARG,ARG1,,,,,,0,0
2022-11-10,Atletico-MG,Cuiaba,3.0,0.0,BRA,BRA1,,,,,,0,4
2022-10-24,Austin FC,FC Dallas,2.0,1.0,USA,MLS1,,,,,,0,0
2022-12-23,Ayr,Dundee,0.0,2.0,SC1,SC2,,,,,,0,2
2022-10-23,Banfield,Sarmiento Junin,0.0,0.0,ARG,ARG1,,,,,,0,0
2022-12-29,Barnsley,Fleetwood Town,2.0,1.0,E2,GB3,,,,,,0,8
2022-10-24,Barracas Central,Newells Old Boys,1.0,1.0,ARG,ARG1,,,,,,0,0
2022-12-27,Beijing Guoan,Shanghai Port,0.0,3.0,CHN,CSL,,,,,,0,4
2019-04-07,Belgrano,Godoy Cruz,1.0,0.0,ARG,ARG1,,,,,,0,0
2022-12-29,Besiktas,Ad. Demirspor,1.0,0.0,T1,TR1,,,,,,0,0
2013-05-31,Bistrita,Concordia,1.0,3.0,ROU,RO1,,,,,,0,0
2022-10-23,Boca Juniors,Independiente,2.0,2.0,ARG,ARG1,,,,,,0,0
2022-11-06,Bohemians,Sligo Rovers,3.0,1.0,IRL,IR1,,,,,,0,0
2022-12-27,Bolton,Derby,0.0,0.0,E2,GB3,,,,,,0,4
2022-11-10,Botafogo RJ,Santos,3.0,0.0,BRA,BRA1,,,,,,0,4
2019-11-06,Brage,Kalmar,0.0,2.0,SWE,SE1,,,,,,0,0
2021-12-15,Brann,Jerv,1.0,1.0,NOR,NO1,,,,,,0,0
2021-11-19,Bray,UC Dublin,0.0,2.0,IRL,IR1,,,,,,0,0
2019-05-04,Brechin,Stenhousemuir,1.0,1.0,SC2,SC3,,,,,,0,0
2022-12-29,Bristol Rvs,Exeter,3.0,4.0,E2,GB3,,,,,,0,8
2018-11-25,Brommapojkarna,AFC Eskilstuna,1.0,2.0,SWE,SE1,,,,,,0,0
2019-05-19,Bursaspor,Goztep,0.0,0.0,T1,TR1,,,,,,0,0
2022-12-26,Burton,Lincoln,3.0,0.0,E2,GB3,,,,,,0,17
2022-12-27,Buyuksehyr,Antalyaspor,2.0,0.0,T1,TR1,,,,,,0,0
2022-10-23,CF Montreal,New York City,1.0,3.0,USA,MLS1,,,,,,0,0
2019-10-18,Cabinteely,Drogheda,1.0,1.0,IRL,IR1,,,,,,0,0
2021-05-29,Calarasi,FC Voluntari,1.0,2.0,ROU,RO1,,,,,,0,0
2022-12-27,Cangzhou,Hebei,3.0,0.0,CHN,CSL,,,,,,0,4
2022-10-19,Central Cordoba,Tigre,1.0,2.0,ARG,ARG1,,,,,,0,0
2018-05-11,Chacarita Juniors,San Martin S.J.,1.0,4.0,ARG,ARG1,,,,,,0,0
2022-12-26,Cheltenham,Plymouth,0.0,1.0,E2,GB3,,,,,,0,17
2017-04-29,Chiapas,Santos Laguna,2.0,2.0,MEX,MEX1,,,,,,0,1
2022-10-23,Club America,Toluca,1.0,1.0,MEX,MEX1,,,,,,0,0
2016-10-22,Cobh Ramblers,Drogheda,0.0,2.0,IRL,IR1,,,,,,0,0
2022-06-15,Colon Santa FE,River Plate,1.0,0.0,ARG,ARG1,,,,,,0,0
2022-10-18,Colon Santa Fe,Defensa y Justicia,1.0,2.0,ARG,ARG1,,,,,,0,0
2022-05-21,Concordia,Chindia Targoviste,2.0,1.0,ROU,RO1,,,,,,0,0
2020-11-09,Cork City,Derry City,1.0,1.0,IRL,IR1,,,,,,0,0
2022-12-23,Cove Rangers,Hamilton,2.0,0.0,SC1,SC2,,,,,,0,2
2015-11-09,Crucero del Norte,Aldosivi,0.0,2.0,ARG,ARG1,,,,,,0,0
2022-10-13,Cruz Azul,Monterrey,0.0,0.0,MEX,MEX1,,,,,,0,0
2018-06-02,Daco-Getica Bucuresti,FC Voluntari,2.0,2.0,ROU,RO1,,,,,,0,0
2022-10-22,Defensa y Justicia,Atl. Tucuman,3.0,1.0,ARG,ARG1,,,,,,0,0
2021-05-11,Denizlispor,Galatasaray,1.0,4.0,T1,TR1,,,,,,0,0
2022-12-30,Derby,Cambridge,1.0,0.0,E2,GB3,,,,,,0,6
2022-11-06,Derry City,Dundalk,0.0,1.0,IRL,IR1,,,,,,0,0
2022-05-29,Din. Bucuresti,U. Cluj,1.0,1.0,ROU,RO1,,,,,,0,0
2022-11-06,Drogheda,Finn Harps,2.0,0.0,IRL,IR1,,,,,,0,0
2022-04-30,Dumbarton,Clyde,2.0,1.0,SC2,SC3,,,,,,0,0
2022-10-28,Dundalk,Bohemians,2.0,1.0,IRL,IR1,,,,,,0,0
2022-11-19,Dundee,Hamilton,1.0,0.0,SC1,SC2,,,,,,0,0
2022-12-03,Dunfermline,Queen of Sth,1.0,1.0,SC2,SC3,,,,,,0,0
2022-04-30,East Fife,Cove Rangers,2.0,3.0,SC2,SC3,,,,,,0,0
2021-05-08,Erzurum BB,Kasimpasa,0.0,1.0,T1,TR1,,,,,,0,0
2020-07-03,Esbjerg,Horsens,1.0,2.0,DNK,DK1,,,,,,0,1
2022-10-22,Estudiantes L.P.,Godoy Cruz,2.0,0.0,ARG,ARG1,,,,,,0,0
2022-12-18,FC Arges,Mioveni,2.0,2.0,ROU,RO1,,,,,,0,2
2022-10-18,FC Dallas,Minnesota United,1.0,1.0,USA,MLS1,,,,,,0,0
2022-12-23,Falkirk,Queen of Sth,5.0,2.0,SC2,SC3,,,,,,0,2
2022-12-27,Fenerbahce,Hatayspor,4.0,0.0,T1,TR1,,,,,,0,0
2022-10-28,Finn Harps,UC Dublin,1.0,3.0,IRL,IR1,,,,,,0,0
2022-11-12,Flamengo RJ,Avai,1.0,2.0,BRA,BRA1,,,,,,0,0
